Date,Cost,VIP Price,Silver Price,Bronze Price,Event Type,Fireworks Cost,Silver Pct,General Admission Price,Name,Reserved Extra Pct,Venue Name,Pct Seats Unavailable,Time,Venue Type,Capacity,Gold Price,VIP Pct,Event ID,Gold Pct,Bronze Pct,General Admission Pct,Fireworks Planned
10/15/23,58750,0,0,0,Festival,,15,0,Minerpalooza,5,Centenial Plaza,0,6:00 PM,Open Air,5000,0,5,68,10,20,45,No
1/5/24,150400,0,0,0,Festival,,15,0,UTEP Commencement 1,5,Don Haskins Center,0,9:00 AM,Arena,12800,0,5,69,10,20,45,
10/14/23,150400,0,0,0,Festival,,15,0,UTEP Commencement 2,5,Don Haskins Center,0,2:00 PM,Arena,12800,0,5,70,10,20,45,
2/14/24,150400,0,0,0,Festival,,15,0,UTEP Commencement 3,5,Don Haskins Center,0,7:00 PM,Arena,12800,0,5,71,10,20,45,
10/20/23,150400,0,0,0,Festival,,15,0,UTEP Commencement 3,5,Don Haskins Center,0,2:00 PM,Arena,12800,0,5,72,10,20,45,
2/1/24,13536,40.63,23.75,15.63,Concert,,15,6.25,UTEP Wind Symphony 1,5,Magoffin Auditorium,0,6:00 PM,Auditorium,1152,26.88,5,45,10,20,45,
12/1/23,13536,40.63,23.75,15.63,Concert,,15,6.25,UTEP Wind Symphony 2,5,Magoffin Auditorium,0,6:00 PM,Auditorium,1152,26.88,5,46,10,20,45,
3/22/24,13536,40.63,23.75,15.63,Concert,,15,6.25,UTEP Wind Symphony 3,5,Magoffin Auditorium,0,6:00 PM,Auditorium,1152,26.88,5,47,10,20,45,
10/19/23,13536,40.63,23.75,15.63,Concert,,15,6.25,UTEP Wind Symphony 4,5,Magoffin Auditorium,0,6:00 PM,Auditorium,1152,26.88,5,48,10,20,45,
9/12/23,13536,40.63,23.75,15.63,Concert,,15,6.25,UTEP Wind Symphony 5,5,Magoffin Auditorium,0,6:00 PM,Auditorium,1152,26.88,5,49,10,20,45,
3/26/24,13536,40.63,23.75,15.63,Concert,,15,6.25,UTEP Wind Symphony 6,5,Magoffin Auditorium,0,6:00 PM,Auditorium,1152,26.88,5,50,10,20,45,
12/5/23,13536,40.63,23.75,15.63,Concert,,15,6.25,UTEP Wind Symphony 7,5,Magoffin Auditorium,0,6:00 PM,Auditorium,1152,26.88,5,51,10,20,45,
12/20/23,13536,40.63,23.75,15.63,Concert,,15,6.25,UTEP Wind Symphony 8,5,Magoffin Auditorium,0,6:00 PM,Auditorium,1152,26.88,5,52,10,20,45,
9/14/23,13536,40.63,23.75,15.63,Concert,,15,6.25,UTEP Wind Symphony 9,5,Magoffin Auditorium,0,6:00 PM,Auditorium,1152,26.88,5,53,10,20,45,
11/10/23,13536,40.63,23.75,15.63,Concert,,15,6.25,UTEP Wind Symphony 10,5,Magoffin Auditorium,0,6:00 PM,Auditorium,1152,26.88,5,54,10,20,45,
12/7/23,13536,40.63,23.75,15.63,Concert,,15,6.25,UTEP Wind Symphony 11,5,Magoffin Auditorium,0,6:00 PM,Auditorium,1152,26.88,5,55,10,20,45,
12/15/23,13536,40.63,23.75,15.63,Concert,,15,6.25,UTEP Wind Symphony 12,5,Magoffin Auditorium,0,6:00 PM,Auditorium,1152,26.88,5,56,10,20,45,
9/4/23,681500,31.5,22.5,19.5,Sport,,15,15,UTEP Football 1,5,Sun Bowl Stadium,0,7:05 PM,Stadium,58000,27,5,1,10,20,45,No
9/11/23,681500,31.5,22.5,19.5,Sport,17400,15,15,UTEP Football 2,5,Sun Bowl Stadium,0,7:05 PM,Stadium,58000,27,5,2,10,20,45,Yes
9/18/23,681500,31.5,22.5,19.5,Sport,17400,15,15,UTEP Football 3,5,Sun Bowl Stadium,0,7:05 PM,Stadium,58000,27,5,3,10,20,45,Yes
9/25/23,681500,31.5,22.5,19.5,Sport,17400,15,15,UTEP Football 4,5,Sun Bowl Stadium,0,7:05 PM,Stadium,58000,27,5,4,10,20,45,Yes
10/2/23,681500,31.5,22.5,19.5,Sport,,15,15,UTEP Football 5,5,Sun Bowl Stadium,0,7:05 PM,Stadium,58000,27,5,5,10,20,45,No
10/9/23,681500,31.5,22.5,19.5,Sport,,15,15,UTEP Football 6,5,Sun Bowl Stadium,0,7:05 PM,Stadium,58000,27,5,6,10,20,45,No
10/16/23,681500,31.5,22.5,19.5,Sport,17400,15,15,UTEP Football 7,5,Sun Bowl Stadium,0,7:05 PM,Stadium,58000,27,5,7,10,20,45,Yes
11/20/23,150400,31.5,22.5,19.5,Sport,,15,15,UTEP Basketball 1,5,Don Haskins Center,0,6:30 PM,Arena,12800,27,5,14,10,20,45,
11/27/23,150400,31.5,22.5,19.5,Sport,,15,15,UTEP Basketball 3,5,Don Haskins Center,0,6:30 PM,Arena,12800,27,5,16,10,20,45,
12/4/23,150400,31.5,22.5,19.5,Sport,,15,15,UTEP Basketball 5,5,Don Haskins Center,0,6:30 PM,Arena,12800,27,5,18,10,20,45,
12/11/23,150400,31.5,22.5,19.5,Sport,,15,15,UTEP Basketball 7,5,Don Haskins Center,0,6:30 PM,Arena,12800,27,5,20,10,20,45,
12/18/23,150400,31.5,22.5,19.5,Sport,,15,15,UTEP Basketball 9,5,Don Haskins Center,0,6:30 PM,Arena,12800,27,5,22,10,20,45,
12/25/23,150400,31.5,22.5,19.5,Sport,,15,15,UTEP Basketball 11,5,Don Haskins Center,0,6:30 PM,Arena,12800,27,5,24,10,20,45,
1/1/24,150400,31.5,22.5,19.5,Sport,,15,15,UTEP Basketball 13,5,Don Haskins Center,0,6:30 PM,Arena,12800,27,5,26,10,20,45,
1/8/24,150400,31.5,22.5,19.5,Sport,,15,15,UTEP Basketball 15,5,Don Haskins Center,0,6:30 PM,Arena,12800,27,5,28,10,20,45,
